No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,bit.ly/griisamarindalive,,"Rabu, 6 Mei 2020",
2,07.00 WIB,Saat Teduh Bersama - Tentang Penghakiman,Pdt. Eko Aria,http://bit.ly/griimalanglive,,"Rabu, 6 Mei 2020",
3,08.00 WIB,PA Anak - Abraham Dipanggil Allah,PRII Tokyo,https://zoom.us/j/92011571873,Zoom Meeting ID : 920 1157 1873,"Rabu, 6 Mei 2020",
4,09.00 WIB,PA Wanita - Unfinished Work of Christ,Pdt. Titus Ndoen,http://bit.ly/griibsdlive,,"Rabu, 6 Mei 2020",
5,10.00 WIB,PA Wanita & Lansia - Harta Karun dalam Bejana Rapuh,Vik. Grace Kamuri,http://bit.ly/mriidepoklive,griidepok.com/live,"Rabu, 6 Mei 2020",
6,16.30 WIB,PD & PA - Kerajaan 1000 Tahun & Langit-Bumi Baru : Langit-Bumi Baru & Yerusalem Baru,Pdt. Antonius Steven Un,http://bit.ly/griikebonjeruklive,http://griikebonjeruk.org/live,"Rabu, 6 Mei 2020",
7,16.30 WIB,PA - Doa dalam PL : Emosi dan Doa yang (Sebaiknya) Tidak Terkabul,Vik. Bakti Anugrah,http://bit.ly/griikertajayalive,,"Rabu, 6 Mei 2020",
8,17.00 WIB,PA - Eksposisi Injil di dalam Kisah Yusuf (12),Pdt. Aludin Yauw,https://www.youtube.com/channel/UCnjXgjNw0bImsxw_0DInmDw/live,,"Rabu, 6 Mei 2020",
9,17.00 WIB,PA - Apresiasi Buku Teologi : Keindahan & Kemuliaan Mempelai Wanita Kristus (Bab 5-6),Vik. Stenly Y. Lailewan,"Via Zoom, mohon mendaftar melalui WA di kolom keterangan",Pendaftaran hubungi Bp. Calvin 081949177662 (klik di sini utk WA),"Rabu, 6 Mei 2020",
10,18.00 WIB,PD - Pencarian Manusia : Pencarian Substansi,Vik. Thermanto D. S. Samosir,https://www.youtube.com/channel/UCm3pRxcEv-_2lFrj3ycDISg/live,https://zoom.us/j/8950688000,"Rabu, 6 Mei 2020",
11,18.30 WIB,Persekutuan Doa,Vik. Nurita Agustina,http://bit.ly/griimalanglive,,"Rabu, 6 Mei 2020",
12,18.30 WIB,Persekutuan Doa,GRII Singapura,https://zoom.us/j/96970546878?pwd=NXk3WlZESElxNkIwVGx6dGxFZDhIdz09,https://www.rec-singapore.org/persekutuan-doa/,"Rabu, 6 Mei 2020",
13,18.45 WIB,PA & PD - The Servant of The Lord,Pdt. Solomon Yo,https://zoom.us/j/89346687402,http://linktr.ee/grii.andhika,"Rabu, 6 Mei 2020",
14,19.00 WIB,PD - Thanksgiving for God's Presence : Puritan on Suffering,Pdt. Agus Marjanto,http://bit.ly/griibdglive,griibandung.org/live,"Rabu, 6 Mei 2020",
15,19.00 WIB,Pemahaman Alkitab,Pdt. Amin Khouw,https://www.youtube.com/channel/UC4uWpMyApTP25d5nE57M_Lg/live,,"Rabu, 6 Mei 2020",
16,19.30 WIB,"PA - Talkshow : Setelah Kebangkitan, Sekarang Apa?","Pdt. Billy Kristanto,
Pdt. Hendra Wijaya,
Pdt. Eko Aria",http://bit.ly/griikelapagadinglive,Melalui Zoom : https://zoom.us/j/95986458887,"Rabu, 6 Mei 2020",
