No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,http://bit.ly/griisamarindalive,,20200522,
2,07.00 WIB,Saat Teduh Bersama - Biji Sesawi dan Ragi,Pdt. Eko Aria,http://bit.ly/griimalanglive,,20200522,
3,09.00 WIB,"Ibadah Penutupan Tahun Akademik 2019-20 Calvin Institute of Technology - His Ascension, My Existence","Pdt. David Tong,
sambutan oleh Pdt. Stephen Tong",http://bit.ly/youtubeCIT,Facebook : http://bit.ly/facebookCIT,20200522,
4,10.30 WIB,Tanya Jawab Calvin Institute of Technology,Rektorat CIT,"Via Zoom, wajib mendaftar : http://bit.ly/tanyajawabCIT",,20200522,
5,12.00 WIB,Persekutuan Pemuda - Eksposisi Injil Lukas 16-18,Pdt. Eko Aria,http://bit.ly/griimalanglive,,20200522,
6,16.00 WIB,PA Anak Kelas Kecil,GRII Singapura,https://zoom.us/j/92680555471?pwd=VnRjNmFaQzN1d2tNelpnQ3cwOG9iQT09,https://www.rec-singapore.org/pa-anak-kelas-kecil/,20200522,
7,16.30 WIB,PA - 1 Yohanes : Allah Adalah Kasih,Vik. Imelda Ginting,http://bit.ly/griikertajayalive,,20200522,
8,18.30 WIB,PA Pusat - Malaikat dalam Kisah Kenaikan,Pdt. Jimmy Pardede,https://www.youtube.com/c/RELAYRMCI/live,https://pusat.grii.org/live,20200522,
9,18.30 WIB,PA Umum,GRII Singapura,https://zoom.us/j/91122238469?pwd=b2tQYnlBTFVraXQ3dlVMNnVVU0NYdz09,Link Youtube di : https://www.rec-singapore.org/pa-umum/,20200522,
10,18.30 WIB,PA Pemuda - The Heart of The Cross : The Problem of Forgiveness,Pdt. Solomon Yo,https://us02web.zoom.us/j/81371739483,Jika salah mohon cek https://linktr.ee/grii.andhika,20200522,
11,19.00 WIB,PA - Ya Aku Datang Segera (2),Pdt. Thomy Matakupan,http://bit.ly/griibuaranlive,,20200522,
12,19.00 WIB,PA Umum,MRII Bogor,Pendaftaran hubungi Bp. Calvin : https://wa.me/6281949177662,,20200522,
13,19.00 WIB,Persekutuan Doa,Vik. Leonardo Chandra,https://www.youtube.com/channel/UCdg5YIfbsRMQrXpHBX1y1YQ/live,,20200522,
14,19.30 WIB,PA - The Risen Lord and His Church 2 : Christ Charis to The Corinthians,Pdt. Budi Sutrisno,http://griikarawaci.tv/,,20200522,
15,19.30 WIB,PA - Telah Kitab Kisah Para Rasul - Kabar Baik bagi Peziarah Asing dari Etiopia,Vik. Eben Matalu,https://www.youtube.com/watch?v=X3v8jV4xAvs,,20200522,
