No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,http://bit.ly/griisamarindalive,,"Minggu, 14 Juni 2020",
2,06.10 WIB,Persekutuan Doa + Kebaktian Umum,Pdt. Budy Setiawan,http://bit.ly/griimelbournelive,,"Minggu, 14 Juni 2020",
1,07.00 WIB,,MRII Balikpapan,"Zoom Meeting ID : 850 5725 5193,
 Password : 503729",,"Minggu, 14 Juni 2020",Kelas Besar
3,07.00 WIB,Kebaktian Umum - Api yang Tidak Dapat Dipadamkan - Samuel Ward : Bara Api dari Altar,Pdt. Agus Marjanto,https://www.griisydney.org/relay-live/,,"Minggu, 14 Juni 2020",
4,07.30 WIB,Kebaktian Umum - Mandarin,Pdt. Stephen Tong,https://www.youtube.com/channel/GRIITV/live,https://pusat.grii.org/live,"Minggu, 14 Juni 2020",
1,07.30 WIB,,GRII Kertajaya,,,"Minggu, 14 Juni 2020",Kelas 5 - 6 SD
1,07.30 WIB,,GRII Kertajaya,,,"Minggu, 14 Juni 2020",Kelas 5 - 6 SD
2,07.30 WIB,,Vik. Diana Bunjamin,http://bit.ly/griisamarindalive,,"Minggu, 14 Juni 2020",Semua Kelas
1,08.00 WIB,,GRII Pondok Indah,https://zoom.us/j/93739008642,Zoom Meeting ID: 937 3900 8642,"Minggu, 14 Juni 2020",Kelas 3 - 4 SD
1,08.00 WIB,,GRII Denpasar,https://zoom.us/j/83597908990,,"Minggu, 14 Juni 2020",Kelas 1 - 2 SD
2,08.00 WIB,,GRII Kertajaya,,,"Minggu, 14 Juni 2020",Kelas 3 - 4 SD
2,08.00 WIB,,GRII Kertajaya,,,"Minggu, 14 Juni 2020",Kelas Balita
1,08.00 WIB,,GRII Denpasar,https://zoom.us/j/8950688000,,"Minggu, 14 Juni 2020",Kelas Batita - Balita
3,08.00 WIB,,GRII Malang,http://bit.ly/griimalanglive,,"Minggu, 14 Juni 2020",Semua Kelas -
4,08.15 WIB,,MRII Balikpapan,"Zoom Meeting ID : 832 1822 9309,
 Password : 201571",,"Minggu, 14 Juni 2020",Kelas Kecil
2,08.30 WIB,,GRII Kertajaya,,,"Minggu, 14 Juni 2020",Kelas 1 - 2 SD
3,08.30 WIB,,GRII Kertajaya,,,"Minggu, 14 Juni 2020",Kelas Baduta - Batita
5,08.30 WIB,,Vik. Donna Lisa,https://www.youtube.com/channel/UCnjXgjNw0bImsxw_0DInmDw/live,,"Minggu, 14 Juni 2020",Semua Kelas
6,09.00 WIB,PA - Konklusi Kehidupan : Arti Menikmati Hidup,Pdt. Daniel Santoso,Pendaftaran Hubungi WA : https://wa.me/6281211626422,,"Minggu, 14 Juni 2020",
5,09.00 WIB,REC Singapore English Service,GRII Singapura,https://zoom.us/j/4217078209,Zoom Meeting ID : 421 707 8209,"Minggu, 14 Juni 2020",
7,09.30 WIB,Kebaktian Umum - Indonesia,Pdt. Stephen Tong,https://www.youtube.com/c/RELAYRMCI/live,https://pusat.grii.org/live,"Minggu, 14 Juni 2020",
8,10.00 WIB,English Worship Service,Rev. Michael Densmoor,https://www.youtube.com/c/auvigrii/live,http://pusat.grii.org/ews,"Minggu, 14 Juni 2020",
3,13.00 WIB,,GRII Pondok Indah,https://zoom.us/j/99206098982,Meeting ID: 992 0609 8982,"Minggu, 14 Juni 2020",Kelas 1 - 2 SD
9,13.30 WIB,Tanya Jawab Umum - GRII Kelapa Gading,"Pdt. Billy Kristanto,
 Pdt. Jethro Rachmadi",https://griikg.org/live/,Zoom : https://bit.ly/TANYAJAWABGRIIKG,"Minggu, 14 Juni 2020",
3,14.00 WIB,,GRII Denpasar,https://zoom.us/j/83597908990,,"Minggu, 14 Juni 2020",Kelas 5 - 6 SD
2,14.00 WIB,,GRII Pondok Indah,https://zoom.us/j/96025364410,Meeting ID: 960 2536 4410,"Minggu, 14 Juni 2020",Kelas 5 - 6 SD
3,14.00 WIB,,GRII Denpasar,https://zoom.us/j/8950688000,,"Minggu, 14 Juni 2020",Kelas 3 - 4 SD
3,14.00 WIB,,GRII Denpasar,https://zoom.us/j/83597908990,,"Minggu, 14 Juni 2020",Kelas 5 - 6 SD
2,14.00 WIB,,GRII Pondok Indah,https://zoom.us/j/96025364410,Meeting ID: 960 2536 4410,"Minggu, 14 Juni 2020",Kelas 5 - 6 SD
6,15.00 WIB,,GRII Kebon Jeruk & GRII Semarang,http://grii-semarang.org/live,http://griikebonjeruk.org/live/,"Minggu, 14 Juni 2020",Semua Kelas - Mengenal Kristus :
10,15.00 WIB,REC Singapore Chinese Service,GRII Singapura,https://zoom.us/j/394867503,Zoom Meeting ID : 394 867 503,"Minggu, 14 Juni 2020",
5,16.00 WIB,,GRII BSD & MRII GS,http://www.grii-bsd.org/live/,,"Minggu, 14 Juni 2020",Kelas Batita - Balita
4,16.00 WIB,,GRII Pondok Indah,https://zoom.us/j/93958112734,Meeting ID: 939 5811 2734,"Minggu, 14 Juni 2020",Kelas Balita - Pra-SD
12,16.00 WIB,PA Anak Seri Tokoh - Yusuf : Kemah vs Penjara,Bp. Leo Slamet,http://bit.ly/griicitralive,,"Minggu, 14 Juni 2020",
4,16.00 WIB,,GRII BSD & MRII GS,http://www.grii-bsd.org/live/,,"Minggu, 14 Juni 2020",Kelas 4 - 6 SD
11,16.00 WIB,Kebaktian Umum Sore - Indonesia (Tersedia juga Siaran Ulang KU Pagi),GRII Pusat,https://pusat.grii.org/live,https://livestream.com/stemi,"Minggu, 14 Juni 2020",
4,16.00 WIB,,GRII BSD & MRII GS,http://www.grii-bsd.org/live/,,"Minggu, 14 Juni 2020",Kelas 1 - 3 SD
4,16.00 WIB,,GRII BSD & MRII GS,http://www.grii-bsd.org/live/,,"Minggu, 14 Juni 2020",Kelas 4 - 6 SD
13,17.00 WIB,Lektur Publik STTRII - Metanarasi Kitab Suci : Theologi Penebusan,Pdt. Billy Kristanto,https://youtube.com/STTRIIOnline/live,,"Minggu, 14 Juni 2020",
14,18.00 WIB,Persekutuan Remaja,GRII Denpasar,https://zoom.us/j/8950688000,Zoom Meeting ID : 895 068 8000,"Minggu, 14 Juni 2020",
