No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,http://bit.ly/griisamarindalive,,"Jumat, 29 Mei 2020",
2,07.00 WIB,"Saat Teduh Bersama - Penyesat, Kesesatan, dan Konsekuensi",Pdt. Eko Aria,http://bit.ly/griimalanglive,,"Jumat, 29 Mei 2020",
3,08.00 WIB,PA - Belajar Katekismus Heidelberg : The Corrupt Human Nature (Q&A 6-8),Pdt. Billy Kristanto,https://griikg.org/live/,,"Jumat, 29 Mei 2020",
4,12.00 WIB,Persekutuan Pemuda - Eksposisi Injil Lukas,Pdt. Eko Aria,http://bit.ly/griimalanglive,,"Jumat, 29 Mei 2020",
5,16.00 WIB,PA Anak Kelas Kecil,GRII Singapura,https://zoom.us/j/92680555471?pwd=VnRjNmFaQzN1d2tNelpnQ3cwOG9iQT09,https://www.rec-singapore.org/pa-anak-kelas-kecil/,"Jumat, 29 Mei 2020",
6,16.00 WIB,Pemahaman Alkitab (Mandarin),Vik. Irwan Arifin,"Zoom Meeting ID : 851 9000 5063.
Password : 349126",,"Jumat, 29 Mei 2020",
7,16.30 WIB,PA - 1 Yohanes : Allah Adalah Hidup,Vik. Imelda Ginting,http://bit.ly/griikertajayalive,,"Jumat, 29 Mei 2020",
8,18.30 WIB,PA Pusat - Dari Babel ke Pentakosta,Pdt. Ivan Kristiono,https://www.youtube.com/c/RELAYRMCI/live,https://pusat.grii.org/live,"Jumat, 29 Mei 2020",
9,18.30 WIB,PA - Over Confidence : The Sudden Fall,GRII Singapura,"Via Zoom, pendaftaran : http://bit.ly/masterclass29mei",https://www.rec-singapore.org/pa-umum/,"Jumat, 29 Mei 2020",
10,18.30 WIB,PA Pemuda - The Heart of The Cross : The Problem of Redemption,Pdt. Solomon Yo,https://us02web.zoom.us/j/81371739483,,"Jumat, 29 Mei 2020",
11,19.00 WIB,PA - Kuasa Pentakosta,Pdt. Thomy Matakupan,http://bit.ly/griibuaranlive,,"Jumat, 29 Mei 2020",
12,19.00 WIB,PA Umum,Vik. Stenly Y. Lailewan,Live FB : https://www.facebook.com/Mimbar-Reformed-Injili-Indonesia-Bogor-104262257972271,,"Jumat, 29 Mei 2020",
13,19.00 WIB,Persekutuan Doa,Vik. Leonardo Chandra,https://www.youtube.com/channel/UCdg5YIfbsRMQrXpHBX1y1YQ/live,,"Jumat, 29 Mei 2020",
14,19.30 WIB,PA - The Risen Lord and His Church 2 : Eksposisi Kitab Kisah Para Rasul,"Pdt. David Tong,
Pdt. Budi Sutrisno",http://griikarawaci.tv/,,"Jumat, 29 Mei 2020",
15,19.30 WIB,PA - Telaah Kitab Kisah Para Rasul - Paulus : Musuh yang Ditaklukkan,Vik. Eben Matalu,https://www.youtube.com/watch?v=TI2P6IGl7Qk,,"Jumat, 29 Mei 2020",
