No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,http://bit.ly/griisamarindalive,,20200626,
2,07.00 WIB,Saat Teduh Bersama - Tentang Pembunuhan,Pdt. Eko Aria,http://bit.ly/griimalanglive,,20200626,
3,08.00 WIB,Belajar Katekismus Heidelberg : Christ's Return (QA 50-52),Pdt. Billy Kristanto,https://griikg.org/live/,,20200626,
4,16.00 WIB,PA Anak Kelas Kecil,GRII Singapura,https://www.rec-singapore.org/pa-anak-kelas-kecil/,,20200626,
5,16.00 WIB,PA Umum (Mandarin),Vik. Irwan Arifin,https://zoom.us/j/86186422644,,20200626,
6,18.00 WIB,PA - Tafsiran Kitab Wahyu (4),Pdt. Baju Widjotomo,Pendaftaran hubungi WA : https://wa.me/62811323345,,20200626,
7,18.30 WIB,PA Pusat - Injil dan Mamon Modern,Pdt. Jimmy Pardede,https://www.youtube.com/c/RELAYRMCI/live,https://pusat.grii.org/live,20200626,
8,18.30 WIB,PA Umum,GRII Singapura,https://www.rec-singapore.org/pa-umum/,,20200626,
9,18.30 WIB,PA Pemuda -,Pdt. Solomon Yo,https://linktr.ee/grii.andhika,https://us02web.zoom.us/j/81371739483,20200626,
10,18.30 WIB,PA - Filipi : Sukacita dalam Percaya,Vik. Imelda Ginting,https://www.youtube.com/watch?v=w4Yd2F71xZM,,20200626,
11,19.00 WIB,PA - Mengikut Yesus :,Pdt. Thomy Matakupan,http://bit.ly/griibuaranlive,,20200626,
12,19.00 WIB,PA -,Vik. Stenly Y. Lailewan,http://bit.ly/mriibogorlive,Live FB : https://www.facebook.com/Mimbar-Reformed-Injili-Indonesia-Bogor-104262257972271,20200626,
13,19.30 WIB,PA -,GRII Batam,https://www.youtube.com/c/GRIIBatam/live,,20200626,
