No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,http://bit.ly/griisamarindalive,,20201001,
2,06.30 WIB,PD - ,Pdt. Sutjipto Subeno,https://zoom.us/j/2232232211,,20201001,
3,07.00 WIB,Saat Teduh Bersama - ,Pdt. Eko Aria,http://bit.ly/griimalanglive,,20201001,
5,09.00 WIB,Kelas Kamis Pagi - ,Vik. Maria Mazo,https://www.rec-singapore.org/kelas-kamis-pagi/,,20201001,
7,16.00 WIB,PA Wanita & Lansia -  ,Pdt. Sutjipto Subeno,https://zoom.us/j/96826430082,,20201001,
8,17.00 WIB,Apresiasi Buku Teologi -       ,Vik. Stenly Y. Lailewan,https://bit.ly/mriibogorlive,https://web.facebook.com/MRIIBOGOR,20201001,
9,17.00 WIB,Panggung Boneka -,GRII Solo,Zoom Meeting ID : 804 125 2633,Join dengan format username : Nama anak / Kota asal (contoh : Luther / Solo),20201001,
10,17.30 WIB,PA Umum - ,Pdt. Elvis Ratta,"Zoom Meeting ID: 849 3385 7734, Password: 088480",Wajib daftar ke http://wa.me/628125312059,20201001,
12,18.00 WIB,Persekutuan Doa,GRII Samarinda,http://bit.ly/griisamarindalive,,20201001,
11,18.00 WIB,PD & PA Pusat (Mandarin - Indonesia),GRII Pusat,https://pusat.grii.org/live,https://livestream.com/stemi/pamandarin,20201001,
14,18.30 WIB,PA - ,Pdt. Romeo Mazo,https://youtu.be/vR34LGWqaWM,"Zoom Meeting ID : 552 009 5323,
 Password : 1234567",20201001,
15,18.30 WIB,PA - ,Vik. Bakti Anugrah,http://bit.ly/griikertajayalive,,20201001,
16,19.00 WIB,,Pdt. Stephen Tong ,https://www.youtube.com/c/reformedinjili,https://pusat.grii.org/live,20201001,
17,19.00 WIB,PA - ,Vik. Maria Mazo,https://bit.ly/priijambilive,https://zoom.us/j/88614079700,20201001,
18,19.30 PM,PA Pemuda - ,"Markus L. Rahardja, Olivia Wiranata, Erni Steffi",https://griikg.org/live,,20201001,
19,19.30 WIB,PA - ,"Pdt. Titus Ndoen,
Pdt. Handi Gunawan",http://www.grii-bsd.org/live/,,20201001,
20,20.00 WIB,Prayer Night,GRII Pusat - EWS,https://us02web.zoom.us/j/83607820171,English Worship Service,20201001,
