No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,bit.ly/griisamarindalive,,"Jumat, 8 Mei 2020",
2,07.00 WIB,Saat Teduh Bersama - Dua Jalan (Kehidupan dan Kebinasaan),Pdt. Eko Aria,bit.ly/griimalanglive,,"Jumat, 8 Mei 2020",
3,12.00 WIB,Persekutuan Pemuda - Eksposisi Injil Lukas,Pdt. Eko Aria,bit.ly/griimalanglive,,"Jumat, 8 Mei 2020",
4,14.00 WIB,PA Pemuda - Eksposisi Kitab Maleakhi : Mencemarkan Korban,Sdr. Hanslaveda,us02web.zoom.us/j/7526589398,Wajib mendaftar (klik di sini),"Jumat, 8 Mei 2020",
5,16.30 WIB,PA - Doa Paulus : Pengharapan dalam Panggilan-Nya,Vik. Imelda Ginting,bit.ly/griikertajayalive,,"Jumat, 8 Mei 2020",
6,18.30 WIB,PA Pusat - Agapas Me?,Pdt. Jimmy Pardede,https://www.youtube.com/c/RELAYRMCI/live,pusat.grii.org/live,"Jumat, 8 Mei 2020",
7,18.30 WIB,PA Umum,GRII Singapura,https://zoom.us/j/91122238469?pwd=b2tQYnlBTFVraXQ3dlVMNnVVU0NYdz09,"Bisa via Youtube, cek linknya di : https://www.rec-singapore.org/pa-umum/","Jumat, 8 Mei 2020",
8,18.30 WIB,PA Pemuda - Salib Kristus : Sentralitas Salib,Pdt. Solomon Yo,https://us02web.zoom.us/j/81371739483,,"Jumat, 8 Mei 2020",
9,19.00 WIB,Seminar 2 Hari - Kesedihan dan Kemilau Kebenaran,Pdt. Jadi S. Lima,"Via Zoom. Ada kontribusi, mohon info & pendaftaran menghubungi no di kolom keterangan",Info hubungi 08119303787 (klik di sini utk WA),"Jumat, 8 Mei 2020",
10,19.00 WIB,PA - Sekutu dalam Kesusahan,GRII Kuningan,"Via Zoom, mohon mendaftar melalui WA di kolom keterangan",Pendaftaran WA 0811123482 (klik di sini),"Jumat, 8 Mei 2020",
11,19.00 WIB,PA Umum,MRII Bogor,"Via Zoom, mohon mendaftar melalui WA di kolom keterangan",Pendaftaran hubungi Bp. Calvin 081949177662 (klik di sini utk WA),"Jumat, 8 Mei 2020",
12,19.30 WIB,PA - Perjamuan Yerusalem : Kamu Akan Dibaptis Roh Kudus,Pdt. Thomy Matakupan,bit.ly/griibuaranlive,Zoom Meeting ID : 936 578 074,"Jumat, 8 Mei 2020",
13,19.30 WIB,PA - Eksposisi Kitab Kisah Para Rasul,"Pdt. David Tong,
Pdt. Budi Sutrisno",griikarawaci.tv,https://livestream.com/griik,"Jumat, 8 Mei 2020",
