No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia
1,05.30 WIB,Doa Pagi - Ulangan 2:8-15,Pdt. Irwan Hung,http://bit.ly/griisamarindalive,,20201015,
2,06.30 WIB,PD - Comforting In Christ,Pdt. Hendra Wijaya,https://zoom.us/j/2232232211,,20201015,
3,07.00 WIB,Saat Teduh Bersama - Seorang anak... bagi Naomi,Pdt. Eko Aria,http://bit.ly/griimalanglive,,20201015,
4,09.00 WIB,Kelas Kamis Pagi - Pembenaran bagi anak-anak Abraham (Roma 4:21-25),Vik. Maria Mazo,https://www.rec-singapore.org/kelas-kamis-pagi/,,20201015,
5,16.00 WIB,PA Wanita & Lansia -  Mengapa Berdoa? (Doa dan Pembentukan Hidup),Pdt. Sutjipto Subeno,https://zoom.us/j/96826430082,,20201015,
6,17.00 WIB,Apresiasi Buku Teologi - No Place For Truth (David F. Wells),Vik. Stenly Y. Lailewan,https://bit.ly/mriibogorlive,https://web.facebook.com/MRIIBOGOR,20201015,
7,17.00 WIB,Panggung Boneka - Aku Anak-Anak Allah: Bergaul Dengan Allah,GRII Solo,Zoom Meeting ID : 804 125 2633,Join dengan format username : Nama anak / Kota asal (contoh : Luther / Solo),20201015,
10,18.00 WIB,PA Pemuda - Hidup Yang Berbuah: Buah Roh Kudus (Sukacita),Pdt. Daniel Santoso,Pendaftaran hubungi WA: https://wa.me/8618507724439,aadithya,20201015,
9,18.00 WIB,Persekutuan Doa,GRII Samarinda,http://bit.ly/griisamarindalive,,20201015,
8,18.00 WIB,PD & PA Pusat (Mandarin - Indonesia),GRII Pusat,https://pusat.grii.org/live,https://livestream.com/stemi/pamandarin,20201015,
11,18.30 WIB,PA - Holiness: Sola Gratia,Vik. Charles F Marunduri,"Zoom Meeting ID : 780 923 6115,
 Password : 1234567",,20201015,
12,18.30 WIB,PA -  Sebutan-Sebutan Yesus Dalam Alkitab: Pokok Anggur,Vik. Bakti Anugrah,http://bit.ly/griikertajayalive,,20201015,
13,18.30 WIB,PA - Doa Menurut John Calvin,Pdt. Elvis Ratta,"Zoom Meeting ID: 849 3385 7734, Password: 088480",Wajib daftar ke http://wa.me/628125312059,20201015,
14,19.00 WIB,Eksposisi 10 Hukum (E21),Pdt. Stephen Tong ,https://www.youtube.com/ReformedInjili,https://pusat.grii.org/live,20201015,
15,19.00 WIB,PA - Pandangan Alkitab Tentang Ekologi,Vik. Eben Matalu,https://bit.ly/priijambilive,https://zoom.us/j/88614079700,20201015,
16,19.30 PM,PA Pemuda - Salt Shaker Series: Mengelola Income Jaman Now,Bu Miliana ,bit.ly/daftarSaltShakerSeries,,20201015,
17,19.30 WIB,Pemahaman Alkitab,Pdt. Handi Gunawan,http://www.grii-bsd.org/live/,,20201015,
18,20.00 WIB,Prayer Night,GRII Pusat - EWS,https://us02web.zoom.us/j/83607820171,English Worship Service,20201015,
