No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia
1,06.10 WIB,Persekutuan Doa + Kebaktian Umum - The Dynamics of Faith,Pdt. Budy Setiawan,http://bit.ly/griimelbournelive,,20200621,
2,07.00 WIB,Kebaktian Umum - Api yang Tidak Dapat Dipadamkan - John Owen : Bersekutu dengan Allah,Pdt. Agus Marjanto,https://www.youtube.com/c/GRIISydney,https://www.griisydney.org/relay-live/,20200621,
1,07.00 WIB,,MRII Balikpapan,"Zoom Meeting ID : 870 3979 7882,
Password : 737632",,20200621,Kelas Besar (1 - 6 SD)
3,07.30 WIB,Kebaktian Umum - Mandarin & Indonesia,Pdt. Stephen Tong,https://www.youtube.com/c/GRIITV/live,https://pusat.grii.org/live,20200621,
2,07.30 WIB,,Vik. Diana Bunjamin,http://bit.ly/griisamarindalive,,20200621,Semua Kelas
1,07.30 WIB,,GRII Kertajaya,https://us02web.zoom.us/j/85235295505?pwd=dmR5RFRGMFp2eXpzUGkrQjFtclp1dz09,"Zoom Meeting ID: 852 3529 5505,
Password: 078210",20200621,Kelas 5 - 6 SD
2,08.00 WIB,,GRII Kertajaya,https://us04web.zoom.us/j/72680897537?pwd=cS9lUHBrMXA5YVMwR2o3U3k1MEtjUT09,"Zoom Meeting ID: 726 8089 7537,
Password: 5fjZ3Q",20200621,Kelas Balita
1,08.00 WIB,,GRII Denpasar,https://zoom.us/j/8950688000,,20200621,Kelas Batita - Balita
3,08.00 WIB,,Vik. Nurita Agustina,http://bit.ly/griimalanglive,,20200621,Semua Kelas - Perjalanan Misi Paulus ke Roma
2,08.00 WIB,,GRII Kertajaya,https://us04web.zoom.us/j/8042815766?pwd=THBtVlVnaUVCeHI4ZVdZSjd3NW9wZz09,"Zoom Meeting ID: 804 281 5766,
Password: 9qvoqu",20200621,Kelas 3 - 4 SD
1,08.00 WIB,,GRII Pondok Indah,https://zoom.us/j/93739008642,Zoom Meeting ID: 937 3900 8642,20200621,Kelas 3 - 4 SD
1,08.00 WIB,,GRII Denpasar,https://zoom.us/j/83597908990,,20200621,Kelas 1 - 2 SD
4,08.15 WIB,,MRII Balikpapan,"Zoom Meeting ID : 875 1826 3724,
Password : 390124",,20200621,Kelas Kecil (Playgroup - TK)
2,08.30 WIB,,GRII Kertajaya,https://us04web.zoom.us/j/7497584120?pwd=SzBIWWprayt1Rm9xejlRNFFadXhwZz09,"Zoom Meeting ID: 749 758 4120,
Password: SM12K10",20200621,Kelas 1 - 2 SD
3,08.30 WIB,,GRII Kertajaya,https://us02web.zoom.us/j/7530305322?pwd=ejlUMkw1V2hzN1l6R3VxY0dwZm9KZz09,"Zoom Meeting ID: 753 030 5322,
Password: 111829",20200621,Kelas Baduta - Batita
4,09.00 WIB,PA - Konklusi Kehidupan : Paradoks Kehidupan,Pdt. Daniel Santoso,Pendaftaran Hubungi WA : https://wa.me/6281211626422,,20200621,
5,09.30 WIB,Kebaktian Umum - Indonesia,Pdt. Stephen Tong,https://www.youtube.com/c/RELAYRMCI/live,https://pusat.grii.org/live,20200621,
6,10.00 WIB,English Worship Service,Rev. Michael Densmoor,https://www.youtube.com/c/AUVIGRII/live,http://pusat.grii.org/ews,20200621,
3,13.00 WIB,,GRII Pondok Indah,https://zoom.us/j/99206098982,Meeting ID: 992 0609 8982,20200621,Kelas 1 - 2 SD
7,13.30 WIB,Tanya Jawab Umum - GRII Kelapa Gading,"Pdt. Billy Kristanto,
Pdt. Jethro Rachmadi",https://griikg.org/live/,Zoom : https://bit.ly/TANYAJAWABGRIIKG,20200621,
2,14.00 WIB,,GRII Pondok Indah,https://zoom.us/j/96025364410,Meeting ID: 960 2536 4410,20200621,Kelas 5 - 6 SD
3,14.00 WIB,,GRII Denpasar,https://zoom.us/j/83597908990,,20200621,Kelas 5 - 6 SD
3,14.00 WIB,,GRII Denpasar,https://zoom.us/j/8950688000,,20200621,Kelas 3 - 4 SD
5,15.00 WIB,,Vik. Sely Siwalette,http://griikebonjeruk.org/live,http://grii-semarang.org/live,20200621,Semua Kelas - Mengenal Kristus : Kristus Sang Imam
4,16.00 WIB,,GRII Pondok Indah,"Zoom Meeting ID: 939 5811 2734,
Password: 008780",,20200621,Kelas Balita - Pra-SD
4,16.00 WIB,,GRII BSD & MRII GS,http://www.grii-bsd.org/live/,,20200621,Kelas 1 - 3 SD
8,16.00 WIB,"Kebaktian Umum (Siaran Ulang Mandarin, Indonesia, dan Inggris)",GRII Pusat,https://pusat.grii.org/live,https://livestream.com/stemi,20200621,
5,16.00 WIB,,GRII BSD & MRII GS,http://www.grii-bsd.org/live/,,20200621,Kelas Batita - Balita
4,16.00 WIB,,GRII BSD & MRII GS,http://www.grii-bsd.org/live/,,20200621,Kelas 4 - 6 SD
10,17.00 WIB,"Evening Fellowship - Kehidupan Gereja dalam Zaman Akhir - Angka 666 : Peringatan, Penghiburan, dan Pengharapan",Pdt. J. Putratama Kamuri,http://bit.ly/mriidepoklive,,20200621,
9,17.00 WIB,Lektur Publik STTRII - Metanarasi Kitab Suci : Theologi Konsumasi,Pdt. Jimmy Pardede,https://youtube.com/STTRIIOnline/live,,20200621,
11,18.00 WIB,Persekutuan Remaja,GRII Denpasar,https://zoom.us/j/8950688000,,20200621,
12,18.30 WIB,Konser Livestream - Hymns of Hope,"GRII Kebon Jeruk,
Pdt. Antonius Steven Un",http://griikebonjeruk.org/live,,20200621,
