No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia,Pengkhotbah / Cabang
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,bit.ly/griisamarindalive,,20200426,,
2,06.30 WIB,Kebaktian Umum,Pdt. Budy Setiawan,https://www.youtube.com/watch?v=MKfPpIjx33Q,Bilingual Indonesia + Inggris,20200426,,
3,07.00 WIB,Kebaktian Umum,Pdt. Agus Marjanto,https://www.griisydney.org/relay-live/,,20200426,,
4,07.30 WIB,Kebaktian Umum - Mandarin,Pdt. Stephen Tong,https://www.youtube.com/channel/UC6kdcxhW_oXHgHl25i95moA/live,pusat.grii.org/live,20200426,,
2,07.30 WIB,,,https://zoom.us/j/99043772498?pwd=UTlIdERPRWMrY05TM0NINk5VVS9lQT09,"Zoom Meeting ID: 990 4377 2498
Password: 015989",20200426,Kelas 5-6 SD,GRII Kertajaya
1,07.30 WIB,,,bit.ly/griisamarindalive,,20200426,Sekolah Minggu,Vik. Diana Bunjamin
3,08.00 WIB,,,https://us04web.zoom.us/j/2481694144?pwd=TXNWa1NjWjZoTEowUm1jend2UFYwZz09,,20200426,Kelas Balita,GRII Kertajaya
4,08.00 WIB,,,https://us04web.zoom.us/j/7414362886,Zoom Meeting ID: 741 436 2886,20200426,Kelas 3-4 SD,GRII Kertajaya
6,08.30 WIB,,,https://us04web.zoom.us/j/7497584120?pwd=MHo4K0FMNmRxeXRLbjNaam5tN0ZhUT09,"Meeting ID: 749 758 4120
Password: mocca",20200426,Kelas 1-2 SD,GRII Kertajaya
5,08.30 WIB,,,https://us04web.zoom.us/j/7530305322?pwd=ejlUMkw1V2hzN1l6R3VxY0dwZm9KZz09,"Zoom Meeting ID: 753 030 5322
Password: 111829",20200426,Kelas Baduta - Batita,GRII Kertajaya
5,09.00 WIB,REC Singapore English Service,GRII Singapura,https://zoom.us/j/4217078209,Zoom Meeting ID : 421 707 8209,20200426,,
6,09.30 WIB,Kebaktian Umum - Indonesia,Pdt. Stephen Tong,https://www.youtube.com/c/RELAYRMCI/live,pusat.grii.org/live,20200426,,
7,10.30 WIB,English Worship Service,Rev. Michael Densmoor,https://www.youtube.com/c/auvigrii/live,pusat.grii.org/ews,20200426,,
8,13.30 WIB,Tanya Jawab,Pdt. Billy Kristanto,https://www.youtube.com/watch?v=BFKmepjg9pM,https://zoom.us/j/97070047068,20200426,,
9,14.00 WIB,Kelas Katekisasi,GRII Singapura,https://zoom.us/j/98794901783?pwd=cGd1d3dMeGdvZjBLcGZTL1pweFpVQT09,https://www.rec-singapore.org/kelas-katekisasi/,20200426,,
7,15.00 WIB,,,https://www.youtube.com/watch?v=eaOax4liN0M,griikebonjeruk.org/live,20200426,Sekolah Minggu - Knowing God the Almighty,Vik. Joshua Siwalette
10,15.00 WIB,REC Singapore Chinese Service,GRII Singapura,https://zoom.us/j/394867503,Zoom Meeting ID : 394 867 503,20200426,,
8,16.00 WIB,,,https://www.youtube.com/watch?v=8kchveMZPWg,,20200426,Kelas Batita - Balita,GRII BSD & MRII GS
10,16.00 WIB,,,https://www.youtube.com/watch?v=ZwkgwD6fvtw,,20200426,Kelas 4-6 SD,GRII BSD & MRII GS
9,16.00 WIB,,,https://www.youtube.com/watch?v=WmNhfvdI_Mk,,20200426,Kelas 1-3 SD,GRII BSD & MRII GS
11,16.00 WIB,Kebaktian Umum,Pdt. Stephen Tong,pusat.grii.org/live,Siaran Tunda Bhs Mandarin & Indonesia,20200426,,
12,18.00 WIB,"PA - Wahyu Baru : Menguji Klaim ""Tuhan Berbicara pada Saya"" dari Pendeta-pendeta ""Modern""",Pdt. J. Putratama Kamuri,https://www.youtube.com/watch?v=R6_Z8et6Fis,griidepok.com/live,20200426,,
13,18.30 WIB,PA - Kitab Injil & Kisah Para Rasul - Struktur Injil Matius,Pdt. Aiter,https://www.youtube.com/watch?v=IXVQdADocyg,,20200426,,
