No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,http://bit.ly/griisamarindalive,,"Rabu, 10 Juni 2020",
2,07.00 WIB,Saat Teduh Bersama - Tidak Seorangpun Tahu,Pdt. Eko Aria,http://bit.ly/griimalanglive,,"Rabu, 10 Juni 2020",
3,08.00 WIB,Belajar Katekismus Heidelberg : Divine Providence (QA 27-28),Pdt. Billy Kristanto,https://griikg.org/live/,,"Rabu, 10 Juni 2020",
4,09.00 WIB,PA Wanita -,GRII BSD,http://www.grii-bsd.org/live/,,"Rabu, 10 Juni 2020",
5,10.00 WIB,PA Wanita & Lansia -,Vik. Grace Kamuri,http://bit.ly/mriidepoklive,,"Rabu, 10 Juni 2020",
6,10.00 WIB,Panggung Boneka - Seri Tokoh Sejarah Gereja. Eps 2 - Gregory the Great,Pdt. Jimmy Pardede,http://bit.ly/tokohsejarahgereja,,"Rabu, 10 Juni 2020",
7,15.30 WIB,Persekutuan Doa - Love Your Church For Your God,Pdt. Budy Setiawan,https://bit.ly/irec-melb,,"Rabu, 10 Juni 2020",
8,16.00 WIB,PA Anak Seri Tokoh - Nuh : Darat vs Air,Bp. Leo Slamet,http://bit.ly/griicitralive,,"Rabu, 10 Juni 2020",
13,17.00 WIB,PA - Apresiasi Buku Teologi :,Vik. Stenly Y. Lailewan,Live FB : https://www.facebook.com/Mimbar-Reformed-Injili-Indonesia-Bogor-104262257972271,"Untuk Zoom Meeting ID, hubungi WA : https://wa.me/6281949177662","Rabu, 10 Juni 2020",
11,17.00 WIB,PA - Eksposisi Injil di dalam Kisah Yusuf (17),Pdt. Aludin Yauw,https://www.youtube.com/channel/UCnjXgjNw0bImsxw_0DInmDw/live,,"Rabu, 10 Juni 2020",
12,17.00 WIB,Seminar - Jepang & Kekristenan - Jepang : Worldview dan Teologi,Vik. Erianto,"Via Zoom, meeting ID hubungi WA : https://wa.me/819093856417",Atau DM via Instagram : https://www.instagram.com/irectokyo/,"Rabu, 10 Juni 2020",
9,17.00 WIB,PA & PD - Surat Galatia : Makna Sunat,Pdt. Jimmy Pardede,http://bit.ly/griibdglive,,"Rabu, 10 Juni 2020",
10,17.00 WIB,PA -,GRII Kelapa Gading,https://griikg.org/live/,Zoom : https://bit.ly/PAUMUMGRIIKG,"Rabu, 10 Juni 2020",
14,17.30 WIB,"PD & PA - Berapa Lama Lagi, Tuhan? - Hukuman Terhadap Si Penindas",Pdt. Calvin Bangun,http://bit.ly/griikebonjeruklive,http://grii-semarang.org/live/,"Rabu, 10 Juni 2020",
15,18.00 WIB,PD - Problema Manusia : Problema Ketidak Adilan,Vik. Thermanto D. S. Samosir,http://tinyurl.com/GRIIDenpasar,https://zoom.us/j/8950688000,"Rabu, 10 Juni 2020",
16,18.00 WIB,Persekutuan Doa,GRII Singapura,https://zoom.us/j/96970546878?pwd=NXk3WlZESElxNkIwVGx6dGxFZDhIdz09,https://www.rec-singapore.org/persekutuan-doa/,"Rabu, 10 Juni 2020",
17,18.30 WIB,Persekutuan Doa,GRII Malang,http://bit.ly/griimalanglive,,"Rabu, 10 Juni 2020",
18,18.30 WIB,Persekutuan Doa,MRII Yogyakarta,https://www.youtube.com/channel/UC80oQtdBBS3WmZAVPvopNyA/live,,"Rabu, 10 Juni 2020",
19,18.45 WIB,PA & PD - Kasihilah Tuhan Allahmu dan Kasihilah Sesamamu (part 6),Pdt. Solomon Yo,https://www.youtube.com/channel/UCFE3pw9E5_XhSdbpylHg87A/live,https://us02web.zoom.us/j/89346687402,"Rabu, 10 Juni 2020",
20,19.00 WIB,Serving God in The Age of Narcissism - Learn from Abraham (bagian 1),Pdt. Ivan Kristiono,https://www.youtube.com/c/RELAYRMCI/live,https://pusat.grii.org/live,"Rabu, 10 Juni 2020",
21,19.00 WIB,"PA - Kejadian : Sejarah, Mitos, atau Legenda? (2)",Pdt. Christiady Cohen,https://zoom.us/j/156871211,,"Rabu, 10 Juni 2020",
22,19.00 WIB,Persekutuan Doa,Vik. Leonardo Chandra,https://www.youtube.com/channel/UCdg5YIfbsRMQrXpHBX1y1YQ/live,,"Rabu, 10 Juni 2020",
23,19.30 WIB,Persekutuan Doa,MRII Bandar Lampung,https://us02web.zoom.us/j/9831419595,Zoom Meeting ID : 983 141 9595,"Rabu, 10 Juni 2020",
24,19.30 WIB,Persekutuan Doa,GRII BSD,http://www.grii-bsd.org/live/,,"Rabu, 10 Juni 2020",
