No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,http://bit.ly/griisamarindalive,,20200829,
2,06.30 WIB,Persekutuan Doa Pusat,GRII Pusat,https://pusat.grii.org/live,,20200829,
3,06.30 WIB,PD - Kristus: Dasar Hikmat Pelayanan Jemaat,Pdt. Sutjipto Subeno,https://zoom.us/j/2232232211,,20200829,
4,06.30 WIB,Persekutuan Doa,GRII BSD,http://www.grii-bsd.org/live/,,20200829,
5,06.30 WIB,Persekutuan Doa,GRII Kebon Jeruk,http://griikebonjeruk.org/pendaftaran-pd/,,20200829,
6,06.30 WIB,Persekutuan Doa,GRII Batam,https://www.youtube.com/c/GRIIBatam/live,,20200829,
11,07.00 WIB,Persekutuan Doa,MRII Makassar,https://us02web.zoom.us/j/5520095323?pwd=eTRLVjFnTkZSWHlZNkVkU0JGdzRFZz09,,20200829,
9,07.00 WIB,Persekutuan Doa,GRII Pondok Indah,Pendaftaran hubungi WA : https://wa.me/6281717717700,,20200829,
12,07.00 WIB,Persekutuan Doa,MRII Bogor,http://bit.ly/mriibogorlive,,20200829,
7,07.00 WIB,Saat Teduh Bersama - Christian Virtues & Community,Pdt. Eko Aria,http://bit.ly/griimalanglive,,20200829,
8,07.00 WIB,Persekutuan Doa,GRII Kelapa Gading,https://griikg.org/live/,,20200829,
13,07.30 WIB,Persekutuan Doa,MRII PIK,https://zoom.us/j/335979844,,20200829,
14,08.30 WIB,Tanya Jawab Umum GRII Karawaci,"Pdt. David Tong, 
 Pdt. Budi Sutrisno",https://www.youtube.com/watch?v=eVmmuRBQRVs,,20200829,
15,10.00 WIB,PA Anak - 13 Rasul Tuhan Yesus: Yakobus Anak Alfeus,MRII Depok,http://bit.ly/mriidepoklive,,20200829,
18,14.00 WIB,Women's Fellowship -,Vik. Rudy Phen,Pendaftaran hubungi WA : https://wa.me/628121051985,,20200829,
20,14.00 WIB,Persekutuan Pra-Remaja,GRII Pondok Indah,Pendaftaran hubungi WA : https://wa.me/6281717717700,,20200829,
21,14.00 WIB,Persekutuan Remaja,GRII Pondok Indah,Pendaftaran hubungi WA : https://wa.me/6281717717700,,20200829,
23,15.00 WIB,PA Remaja - Essential Truths of the Christian Faith: The Beatific Vision,Ls. Petter,Pendaftaran hubungi WA : https://wa.me/628117780500,,20200829,
28,16.00 WIB,PA Remaja - Manusia & Dosa: Perlawanan terhadap Allah,GRII Bintaro,Pendaftaran : https://forms.gle/AEhQVwDN3NawHgMB9,,20200829,
29,16.00 WIB,PA Pra Remaja & Remaja -,Pdt. Amin Khouw,Pendaftaran hubungi WA : https://wa.me/628561828130,,20200829,
27,16.00 WIB,PD Pemuda,Vik. Tirza J. Rachmadi,"Zoom Meeting ID : 981 2422 4479,
 Password : youthgriik",,20200829,
26,16.00 WIB,PA Remaja,GRII Andhika,https://linktr.ee/grii.andhika,,20200829,
25,16.00 WIB,Persekutuan Doa,GRII Buaran,http://bit.ly/griibuaranlive,,20200829,
24,16.00 WIB,PA Pemuda & Profesional,GRII Kelapa Gading,https://griikg.org/live/,,20200829,
31,16.30 WIB,PA Pemuda - Christianity & Freedom: Friend or Foe? (The Edge of Freedom),Vik. Joshua Siwalette,Pendaftaran hubungi WA : https://wa.me/6281222555455,,20200829,
32,16.45 WIB,PA Pemuda -,GRII BSD,https://zoom.us/j/2425743816,,20200829,
42,17.00 WIB,PA Anak - ,GRII Kertajaya,http://bit.ly/griikertajayalive,,20200829,
41,17.00 WIB,PA Pemuda (Talkshow & Sharing) - Quarter Life Crisis!? Menjadi Orang Kristen Dalam Panggilan Kita Di Dunia ,"Bpk. Onward Siahaan, Vik. Eben Matalu",Pendaftaran hubungi WA : https://wa.me/6285271434540,Atau via DM Instagram : https://www.instagram.com/pemudagriibatam,20200829,
40,17.00 WIB,PA Remaja & Pemuda - ,Vik. Nathanael Marvin,Pendaftaran hubungi WA : https://wa.me/628157690252,,20200829,
39,17.00 WIB,PA Pemuda - Movie Analysis: How Far Can We Do,Bpk. Tonny Sutrisno,http://Grii-cikarang.org/streaming,Zoom Meeting ID : 885 4647 7055,20200829,
38,17.00 WIB,Persekutuan Remaja,GRII Sidoarjo,Pendaftaran hubungi WA : https://wa.me/62811323345,,20200829,
36,17.00 WIB,PA Pemuda -,MRII Yogyakarta,http://bit.ly/mriiyogya,Zoom Meeting ID : 365 462 6283,20200829,
35,17.00 WIB,PA - ,"Pdt. J. Putratama Kamuri,
 Vik. Grace Kamuri",http://bit.ly/mriidepoklive,,20200829,
34,17.00 WIB,PA Pemuda - ,Pdt. Jimmy Pardede,http://bit.ly/griibdglive,,20200829,
33,17.00 WIB,Konser Klasik - ,Jakarta Simfonia Orchestra,http://bit.ly/YouTubeJSO,,20200829,
