No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia,Pengkhotbah / Cabang
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,http://bit.ly/griisamarindalive,,20200510,,
2,06.30 WIB,Kebaktian Umum,Pdt. Budy Setiawan,http://bit.ly/griimelbournelive,,20200510,,
3,07.00 WIB,Kebaktian Umum,Pdt. Agus Marjanto,https://www.griisydney.org/relay-live/,,20200510,,
4,07.30 WIB,Kebaktian Umum - Mandarin (中文),Pdt. Stephen Tong,https://www.youtube.com/channel/UC6kdcxhW_oXHgHl25i95moA/live,pusat.grii.org/live,20200510,,
1,07.30 WIB,,,https://us04web.zoom.us/j/74702053209?pwd=R3NNbWtIL3d4VnNQY0xtNHV0Mk81UT09,"Zoom Meeting ID: 747 0205 3209
 Password: 030241",20200510,Kelas 5-6 SD,GRII Kertajaya
1,07.30 WIB,,,http://bit.ly/griisamarindalive,,20200510,Semua Kelas,GRII Samarinda
2,08.00 WIB,,,https://us04web.zoom.us/j/8042815766?pwd=THBtVlVnaUVCeHI4ZVdZSjd3NW9wZz09,"Zoom Meeting ID: 804 281 5766
 Password: 9qvoqu",20200510,Kelas 3 - 4 SD,GRII Kertajaya
1,08.00 WIB,,,https://zoom.us/j/93739008642,Zoom Meeting ID: 937 3900 8642,20200510,Kelas 3 - 4 SD,GRII Pondok Indah
1,08.00 WIB,,,https://zoom.us/j/83597908990,,20200510,Kelas 1 - 2 SD,GRII Denpasar
3,08.00 WIB,,,https://zoom.us/j/93733015842?pwd=VS9VN1hzN1RZblVLcXVFcURoYkxyQT09,,20200510,Kelas Nursery,GRII Singapura
1,08.00 WIB,,,https://zoom.us/j/8950688000,,20200510,Kelas Batita - Balita,GRII Denpasar
4,08.00 WIB,,,https://zoom.us/j/92520761900?pwd=R1c1cFlPYStqeFpLb0pUbWI3UWpKUT09,,20200510,Kelas Besar,GRII Singapura
3,08.00 WIB,,,https://zoom.us/j/92373464058?pwd=TDIwdjliVzZuZ3RjUjI1VVkrWXdudz09,,20200510,Kelas Kecil,GRII Singapura
2,08.00 WIB,,,http://bit.ly/griimalanglive,,20200510,Semua Kelas,Vik. Agustina
2,08.00 WIB,,,https://us04web.zoom.us/j/4908583342?pwd=R3hUL1JEeUZIRm96VEF6MWlEY2ZLUT09,"Zoom Meeting ID: 490 858 3342
 Password: 276435",20200510,Kelas Balita,GRII Kertajaya
2,08.30 WIB,,,https://us04web.zoom.us/j/7497584120?pwd=dHJtalpNWkpYU0hmekdRTEhQWThsUT09,"Zoom Meeting ID: 749 758 4120
 Password: SmKerta03",20200510,Kelas 1 - 2 SD,GRII Kertajaya
4,08.30 WIB,,,https://us04web.zoom.us/j/71603758709?pwd=UzdxTEFqdkc3UU9POXhWSFMrRG5sUT09,"Zoom Meeting ID: 716 0375 8709
 Password: 006974",20200510,Kelas Baduta - Batita,GRII Kertajaya
5,09.00 WIB,REC Singapore English Service,GRII Singapura,https://zoom.us/j/4217078209,Zoom Meeting ID : 421 707 8209,20200510,,
6,09.30 WIB,Kebaktian Umum - Indonesia,Pdt. Stephen Tong,https://www.youtube.com/c/RELAYRMCI/live,pusat.grii.org/live,20200510,,
7,10.30 WIB,English Worship Service,Rev. Michael Densmoor,https://www.youtube.com/c/auvigrii/live,pusat.grii.org/ews,20200510,,
5,13.00 WIB,,,https://zoom.us/j/94230763577?pwd=MDJEbGR1d2FremthNTJnbm9DQWdwdz09,,20200510,Kelas Kindy,GRII Singapura
3,13.00 WIB,,,https://zoom.us/j/99206098982,Meeting ID: 992 0609 8982,20200510,Kelas 1 - 2 SD,GRII Pondok Indah
3,13.00 WIB,,,https://zoom.us/j/96259161055?pwd=WGhZTFA1WHJPaHlvR3NEaitSQ1Fmdz09,,20200510,Kelas 3 - 4 SD,GRII Singapura
8,13.30 WIB,Tanya Jawab Umum - GRII Kelapa Gading,Pdt. Billy Kristanto,http://bit.ly/griikelapagadinglive,https://zoom.us/j/98796403631,20200510,,
9,14.00 WIB,Kelas Katekisasi,GRII Singapura,https://zoom.us/j/93600498958?pwd=QWNGZWtMdDU4Q01NZGtwOXdKZEI1QT09,https://www.rec-singapore.org/kelas-katekisasi/,20200510,,
2,14.00 WIB,,,https://zoom.us/j/96025364410,Meeting ID: 960 2536 4410,20200510,Kelas 5 - 6 SD,GRII Pondok Indah
4,14.00 WIB,,,https://zoom.us/j/8950688000,,20200510,Kelas 3 - 4 SD,GRII Denpasar
3,14.00 WIB,,,https://zoom.us/j/83597908990,,20200510,Kelas 5 - 6 SD,GRII Denpasar
4,14.30 WIB,,,https://zoom.us/j/94043882852?pwd=bFpVTU5QcUlyT2IxaEdkeExGWFl4QT09,,20200510,Kelas 1 - 2 SD,GRII Singapura
10,14.30 WIB,Persekutuan Doulos (Hamba),GRII Singapura,https://zoom.us/j/92129139308?pwd=ekJiZjdBMkJXQ210bVFwTkJlcTNCQT09,https://www.rec-singapore.org/persekutuan-doulos/,20200510,,
4,15.00 WIB,,,https://zoom.us/j/98292000805?pwd=ais0WmxvYnNGME9sTjNzSE84OWpMdz09,,20200510,Kelas 5 - 6 SD,GRII Singapura
5,15.00 WIB,,,https://www.youtube.com/watch?v=NFRcHfihoqI,,20200510,Semua Kelas - Knowing God : The Merciful,Vik. Sely Siwalette
11,15.00 WIB,REC Singapore Chinese Service (中文),GRII Singapura,https://zoom.us/j/394867503,Zoom Meeting ID : 394 867 503,20200510,,
12,16.00 WIB,Kebaktian Umum,Pdt. Stephen Tong,https://www.youtube.com/c/RELAYRMCI/live,Siaran Tunda Bhs Mandarin & Indonesia,20200510,,
8,16.00 WIB,,,https://zoom.us/j/98965112638?pwd=dUx5VjUyMzJEVy9ESXBSR2l3MXBTUT09,,20200510,Kelas Toddler,GRII Singapura
7,16.00 WIB,,,https://www.youtube.com/watch?v=SxNlqzEnCUg,,20200510,Kelas Batita - Balita,GRII BSD & MRII GS
