No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,http://bit.ly/griisamarindalive,,20200516,
2,06.30 WIB,Persekutuan Doa Pusat,GRII Pusat,https://www.youtube.com/c/RELAYRMCI/live,https://pusat.grii.org/live,20200516,
3,06.30 WIB,PD - Janji di Dalam Kristus,Pdt. Sutjipto Subeno,https://zoom.us/j/2232232211,Zoom Meeting ID : 223 223 2211,20200516,
4,06.30 WIB,Doa Pagi,GRII BSD & MRII GS,http://bit.ly/griibsdlive,,20200516,
8,07.00 WIB,Persekutuan Doa,GRII Karawaci,https://zoom.us/j/98538361319,Zoom Meeting ID : 985 3836 1319,20200516,
7,07.00 WIB,Persekutuan Doa,GRII Kelapa Gading,http://bit.ly/griikelapagadinglive,,20200516,
9,07.00 WIB,Persekutuan Doa,MRII Bogor,"Via Zoom, mohon mendaftar melalui WA di kolom keterangan",Pendaftaran hubungi Bp. Calvin : https://wa.me/6281949177662,20200516,
5,07.00 WIB,Saat Teduh Bersama - Upah Nabi,Pdt. Eko Aria,http://bit.ly/griimalanglive,,20200516,
6,07.00 WIB,Persekutuan Doa,GRII Pondok Indah,https://zoom.us/j/97578233474,Zoom Meeting ID: 975 7823 3474,20200516,
10,08.30 WIB,Tanya Jawab Umum - GRII Karawaci,"Pdt. David Tong,
Pdt. Budi Sutrisno",https://zoom.us/j/98538361319,Check Youtube,20200516,
11,10.00 WIB,PA Anak - Yesus Kristus : Adam yang Baru,Sdr. Alfret Y. Tadjo Talo,http://bit.ly/mriidepoklive,,20200516,
12,10.00 WIB,PA Wanita - Pengaruh Seorang Ibu yang Beriman,Ibu Stanly Simon,http://bit.ly/griikelapagadinglive,Zoom : http://bit.ly/PAWANITAGRIIKG,20200516,
13,11.00 WIB,PA Anak - Siapakah Penciptaku?,Pdt. Amin Khouw,http://bit.ly/griipalembanglive,,20200516,
14,11.00 WIB,Persekutuan Doa,Pdt. Agus Marjanto,https://us02web.zoom.us/j/88399950425?pwd=ck53UG5GM2tRYUZIL3VPdnhGa2N6QT09,"Harap klik link yang tertera, karena ada passwordnya. Informasi : http://www.griisydney.org/",20200516,
15,13.00 WIB,Persekutuan Pemuda & Pekerja,Pdt. Agus Marjanto,https://us02web.zoom.us/j/89299157631?pwd=MXRLd0JsME53c2dZTExTemlHVS9zdz09,,20200516,
16,13.00 WIB,PA Anak - Menyelidiki Kitab Suci,Pdt. Jimmy Pardede,http://bit.ly/griibdglive,,20200516,
17,14.00 WIB,PA Wanita - Women of the Word,REC Jakarta,"Via Zoom, mohon mendaftar melalui WA di kolom keterangan",Pendaftaran hubungi WA : https://wa.me/628121051985,20200516,
18,14.00 WIB,PA Remaja & Pemuda,GRII Singapura,https://zoom.us/j/98546450584?pwd=dHRXVUw2b3F0QzVPU1dBM1JwbFpnUT09,https://www.rec-singapore.org/pa-gabungan-remaja-pemuda/,20200516,
19,15.00 WIB,PA Remaja & Pemuda - Back to Our Confessions - Adoption : The Sonship and Brotherhood of Believers,"Sdr. Alfret Y. Tadjo Talo,
Sdr. Doni H. Harianja",https://zoom.us/j/8434545367,Live via FB : http://facebook.com/mrii.depok,20200516,
20,16.00 WIB,PA Pemuda - Wisdom & Folly,Pdt. Billy Kristanto,http://bit.ly/griikelapagadinglive,Zoom : http://bit.ly/PAPPGRIIKG,20200516,
21,16.00 WIB,Persekutuan Doa,GRII Buaran,http://bit.ly/griibuaranlive,,20200516,
22,16.00 WIB,PA Remaja - Westminster Shorter Cathecism : Question 3,Pdt. Amin Khouw,http://bit.ly/griipalembanglive,,20200516,
23,16.00 WIB,PA Pemuda - Kristus dalam Ratapan,Pdt. Budi Sutrisno,"Zoom Meeting ID : 945 9182 1998,
Password : pemuda",,20200516,
24,16.00 WIB,PA Remaja,GRII Andhika,https://us02web.zoom.us/j/83690102749,,20200516,
25,16.00 WIB,Seminar - Mempersiapkan Jalan Bagi Tuhan,Vik. Jack Kawira,http://bit.ly/Seminar-16May,"Zoom Meeting ID : 850 7737 8894,
Password : 973560",20200516,
26,16.00 WIB,PA Remaja - Aku Penjaga Saudaraku?,GRII Bintaro,,Pendaftaran : https://tinyurl.com/PARemajaOnlineGRIIBintaro,20200516,
27,16.45 WIB,PA Pemuda - Does The Bible Contradict Itself? Is It Just a Fairy Tale?,GRII BSD,https://zoom.us/j/2425743816,Zoom Meeting ID : 242 574 3816,20200516,
33,17.00 WIB,PA Pemuda - Ketika Air Pahit Menjadi Manis,Pdt. Elvis Ratta,"Zoom Meeting ID : 820 4440 4103,
Password : 008396",,20200516,
32,17.00 WIB,PA Pemuda - Wawasan Dunia Reformasional,Vik. Lukman S.,http://bit.ly/live-mriiyogya,,20200516,
