No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia,Pengkhotbah / Cabang
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,bit.ly/griisamarindalive,,"Minggu, 3 Mei 2020",,
2,06.30 WIB,Kebaktian Umum,Pdt. Budy Setiawan,bit.ly/griimelbournelive,Bilingual Indonesia + Inggris,"Minggu, 3 Mei 2020",,
3,07.00 WIB,Kebaktian Umum,Pdt. Agus Marjanto,https://www.griisydney.org/relay-live/,,"Minggu, 3 Mei 2020",,
2,07.30 WIB,,,bit.ly/griisamarindalive,,"Minggu, 3 Mei 2020",Semua Kelas,GRII Samarinda
1,07.30 WIB,,,https://us04web.zoom.us/j/74702053209?pwd=R3NNbWtIL3d4VnNQY0xtNHV0Mk81UT09,"Zoom Meeting ID: 747 0205 3209
Password: 030241","Minggu, 3 Mei 2020",Kelas 5-6 SD,GRII Kertajaya
4,07.30 WIB,Kebaktian Umum - Mandarin (中文),Pdt. Stephen Tong,https://www.youtube.com/channel/UC6kdcxhW_oXHgHl25i95moA/live,pusat.grii.org/live,"Minggu, 3 Mei 2020",,
4,08.00 WIB,,,https://zoom.us/j/93739008642,Zoom Meeting ID: 937 3900 8642,"Minggu, 3 Mei 2020",Kelas 3-4 SD,GRII Pondok Indah
7,08.00 WIB,,,https://www.youtube.com/watch?v=4FbVof3vhOo,,"Minggu, 3 Mei 2020",Kelas 3-6 SD,Pdt. Eko Aria
6,08.00 WIB,,,https://www.youtube.com/watch?v=kZbd2fdTz7k,,"Minggu, 3 Mei 2020",Kelas Kecil (s/d 2 SD),Vik. Agustina
5,08.00 WIB,,,https://us04web.zoom.us/j/8042815766?pwd=THBtVlVnaUVCeHI4ZVdZSjd3NW9wZz09,"Zoom Meeting ID: 804 281 5766
Password: 9qvoqu","Minggu, 3 Mei 2020",Kelas 3-4 SD,GRII Kertajaya
3,08.00 WIB,,,https://us04web.zoom.us/j/4908583342?pwd=R3hUL1JEeUZIRm96VEF6MWlEY2ZLUT09,"Zoom Meeting ID: 490 858 3342
Password: 276435","Minggu, 3 Mei 2020",Kelas Balita,GRII Kertajaya
9,08.30 WIB,,,https://us04web.zoom.us/j/7497584120?pwd=dHJtalpNWkpYU0hmekdRTEhQWThsUT09,"Zoom Meeting ID: 749 758 4120
Password: SmKerta03","Minggu, 3 Mei 2020",Kelas 1-2 SD,GRII Kertajaya
8,08.30 WIB,,,https://us04web.zoom.us/j/71603758709?pwd=UzdxTEFqdkc3UU9POXhWSFMrRG5sUT09,"Zoom Meeting ID: 716 0375 8709
Password: 006974","Minggu, 3 Mei 2020",Kelas Baduta - Batita,GRII Kertajaya
5,09.00 WIB,REC Singapore English Service,GRII Singapura,https://zoom.us/j/4217078209,Zoom Meeting ID : 421 707 8209,"Minggu, 3 Mei 2020",,
6,09.30 WIB,Kebaktian Umum - Indonesia,Pdt. Stephen Tong,https://www.youtube.com/c/RELAYRMCI/live,pusat.grii.org/live,"Minggu, 3 Mei 2020",,
7,10.30 WIB,English Worship Service,Rev. Michael Densmoor,https://www.youtube.com/c/auvigrii/live,pusat.grii.org/ews,"Minggu, 3 Mei 2020",,
10,13.00 WIB,,,https://zoom.us/j/99206098982,Meeting ID: 992 0609 8982,"Minggu, 3 Mei 2020",Kelas 1-2 SD,GRII Pondok Indah
8,13.30 WIB,Tanya Jawab,Pdt. Billy Kristanto,https://www.youtube.com/channel/UC7WyIRn5glhWW75lat3OP8w/live,https://zoom.us/j/98796403631,"Minggu, 3 Mei 2020",,
9,14.00 WIB,Kelas Katekisasi,GRII Singapura,https://zoom.us/j/93600498958?pwd=QWNGZWtMdDU4Q01NZGtwOXdKZEI1QT09,https://www.rec-singapore.org/kelas-katekisasi/,"Minggu, 3 Mei 2020",,
11,14.00 WIB,,,https://zoom.us/j/96025364410,Meeting ID: 960 2536 4410,"Minggu, 3 Mei 2020",Kelas 5-6 SD,GRII Pondok Indah
10,15.00 WIB,REC Singapore Chinese Service (中文),GRII Singapura,https://zoom.us/j/394867503,Zoom Meeting ID : 394 867 503,"Minggu, 3 Mei 2020",,
12,15.00 WIB,,,https://www.youtube.com/watch?v=dkRUNoanVuk,,"Minggu, 3 Mei 2020",Semua Kelas - Knowing God : The Provider,Vik. Nathanael Marvin
11,16.00 WIB,Kebaktian Umum,Pdt. Stephen Tong,https://www.youtube.com/c/RELAYRMCI/live,Siaran Tunda Bhs Mandarin & Indonesia,"Minggu, 3 Mei 2020",,
13,16.00 WIB,,,https://us04web.zoom.us/j/3544725426,Meeting ID: 354 472 5426,"Minggu, 3 Mei 2020",Kelas Pra-SD,GRII Pondok Indah
14,16.00 WIB,,,https://www.youtube.com/watch?v=cSH100MAIJU,,"Minggu, 3 Mei 2020",Batita - Balita,GRII BSD & MRII GS
15,16.00 WIB,,,https://www.youtube.com/watch?v=0DQAiudOpKc,,"Minggu, 3 Mei 2020",Kelas 1-3 SD,GRII BSD & MRII GS
16,16.00 WIB,,,https://www.youtube.com/watch?v=W9TsHIKjGwo,,"Minggu, 3 Mei 2020",Kelas 4-6 SD,GRII BSD & MRII GS
12,16.30 WIB,PA - Kitab Injil & Kisah Para Rasul #8 - Injil Yohanes: Keunikan,Pdt. Aiter,bit.ly/griicitralive,,"Minggu, 3 Mei 2020",,
13,17.00 WIB,Tanya Jawab Pemuda,Pdt. Jimmy Pardede,https://zoom.us/j/85395493819,Pendaftaran klik di sini,"Minggu, 3 Mei 2020",,
14,18.00 WIB,PA - Nubuat Palsu : Tuhan & Otoritas Palsu di Balik Nubuat Gagal Pendeta Palsu,Pdt. J. Putratama Kamuri,bit.ly/mriidepoklive,griidepok.com/live,"Minggu, 3 Mei 2020",,
