No.,Jam,Tema,Pengkhotbah,Link,Keterangan,Date,Usia,Pengkhotbah / Cabang
1,05.30 WIB,Doa Pagi,Pdt. Irwan Hung,http://bit.ly/griisamarindalive,,"Minggu, 10 Mei 2020",,
2,06.30 WIB,Kebaktian Umum,Pdt. Budy Setiawan,http://bit.ly/griimelbournelive,,"Minggu, 10 Mei 2020",,
3,07.00 WIB,Kebaktian Umum,Pdt. Agus Marjanto,https://www.griisydney.org/relay-live/,,"Minggu, 10 Mei 2020",,
4,07.30 WIB,Kebaktian Umum - Mandarin (中文),Pdt. Stephen Tong,https://www.youtube.com/channel/UC6kdcxhW_oXHgHl25i95moA/live,pusat.grii.org/live,"Minggu, 10 Mei 2020",,
1,07.30 WIB,,,https://us04web.zoom.us/j/74702053209?pwd=R3NNbWtIL3d4VnNQY0xtNHV0Mk81UT09,"Zoom Meeting ID: 747 0205 3209
 Password: 030241","Minggu, 10 Mei 2020",Kelas 5-6 SD,GRII Kertajaya
1,07.30 WIB,,,http://bit.ly/griisamarindalive,,"Minggu, 10 Mei 2020",Semua Kelas,GRII Samarinda
2,08.00 WIB,,,https://us04web.zoom.us/j/8042815766?pwd=THBtVlVnaUVCeHI4ZVdZSjd3NW9wZz09,"Zoom Meeting ID: 804 281 5766
 Password: 9qvoqu","Minggu, 10 Mei 2020",Kelas 3 - 4 SD,GRII Kertajaya
1,08.00 WIB,,,https://zoom.us/j/93739008642,Zoom Meeting ID: 937 3900 8642,"Minggu, 10 Mei 2020",Kelas 3 - 4 SD,GRII Pondok Indah
1,08.00 WIB,,,https://zoom.us/j/83597908990,,"Minggu, 10 Mei 2020",Kelas 1 - 2 SD,GRII Denpasar
3,08.00 WIB,,,https://zoom.us/j/93733015842?pwd=VS9VN1hzN1RZblVLcXVFcURoYkxyQT09,,"Minggu, 10 Mei 2020",Kelas Nursery,GRII Singapura
1,08.00 WIB,,,https://zoom.us/j/8950688000,,"Minggu, 10 Mei 2020",Kelas Batita - Balita,GRII Denpasar
4,08.00 WIB,,,https://zoom.us/j/92520761900?pwd=R1c1cFlPYStqeFpLb0pUbWI3UWpKUT09,,"Minggu, 10 Mei 2020",Kelas Besar,GRII Singapura
3,08.00 WIB,,,https://zoom.us/j/92373464058?pwd=TDIwdjliVzZuZ3RjUjI1VVkrWXdudz09,,"Minggu, 10 Mei 2020",Kelas Kecil,GRII Singapura
2,08.00 WIB,,,http://bit.ly/griimalanglive,,"Minggu, 10 Mei 2020",Semua Kelas,Vik. Agustina
2,08.00 WIB,,,https://us04web.zoom.us/j/4908583342?pwd=R3hUL1JEeUZIRm96VEF6MWlEY2ZLUT09,"Zoom Meeting ID: 490 858 3342
 Password: 276435","Minggu, 10 Mei 2020",Kelas Balita,GRII Kertajaya
2,08.30 WIB,,,https://us04web.zoom.us/j/7497584120?pwd=dHJtalpNWkpYU0hmekdRTEhQWThsUT09,"Zoom Meeting ID: 749 758 4120
 Password: SmKerta03","Minggu, 10 Mei 2020",Kelas 1 - 2 SD,GRII Kertajaya
4,08.30 WIB,,,https://us04web.zoom.us/j/71603758709?pwd=UzdxTEFqdkc3UU9POXhWSFMrRG5sUT09,"Zoom Meeting ID: 716 0375 8709
 Password: 006974","Minggu, 10 Mei 2020",Kelas Baduta - Batita,GRII Kertajaya
5,09.00 WIB,REC Singapore English Service,GRII Singapura,https://zoom.us/j/4217078209,Zoom Meeting ID : 421 707 8209,"Minggu, 10 Mei 2020",,
6,09.30 WIB,Kebaktian Umum - Indonesia,Pdt. Stephen Tong,https://www.youtube.com/c/RELAYRMCI/live,pusat.grii.org/live,"Minggu, 10 Mei 2020",,
7,10.30 WIB,English Worship Service,Rev. Michael Densmoor,https://www.youtube.com/c/auvigrii/live,pusat.grii.org/ews,"Minggu, 10 Mei 2020",,
5,13.00 WIB,,,https://zoom.us/j/94230763577?pwd=MDJEbGR1d2FremthNTJnbm9DQWdwdz09,,"Minggu, 10 Mei 2020",Kelas Kindy,GRII Singapura
3,13.00 WIB,,,https://zoom.us/j/99206098982,Meeting ID: 992 0609 8982,"Minggu, 10 Mei 2020",Kelas 1 - 2 SD,GRII Pondok Indah
3,13.00 WIB,,,https://zoom.us/j/96259161055?pwd=WGhZTFA1WHJPaHlvR3NEaitSQ1Fmdz09,,"Minggu, 10 Mei 2020",Kelas 3 - 4 SD,GRII Singapura
8,13.30 WIB,Tanya Jawab Umum - GRII Kelapa Gading,Pdt. Billy Kristanto,http://bit.ly/griikelapagadinglive,https://zoom.us/j/98796403631,"Minggu, 10 Mei 2020",,
9,14.00 WIB,Kelas Katekisasi,GRII Singapura,https://zoom.us/j/93600498958?pwd=QWNGZWtMdDU4Q01NZGtwOXdKZEI1QT09,https://www.rec-singapore.org/kelas-katekisasi/,"Minggu, 10 Mei 2020",,
2,14.00 WIB,,,https://zoom.us/j/96025364410,Meeting ID: 960 2536 4410,"Minggu, 10 Mei 2020",Kelas 5 - 6 SD,GRII Pondok Indah
4,14.00 WIB,,,https://zoom.us/j/8950688000,,"Minggu, 10 Mei 2020",Kelas 3 - 4 SD,GRII Denpasar
3,14.00 WIB,,,https://zoom.us/j/83597908990,,"Minggu, 10 Mei 2020",Kelas 5 - 6 SD,GRII Denpasar
4,14.30 WIB,,,https://zoom.us/j/94043882852?pwd=bFpVTU5QcUlyT2IxaEdkeExGWFl4QT09,,"Minggu, 10 Mei 2020",Kelas 1 - 2 SD,GRII Singapura
10,14.30 WIB,Persekutuan Doulos (Hamba),GRII Singapura,https://zoom.us/j/92129139308?pwd=ekJiZjdBMkJXQ210bVFwTkJlcTNCQT09,https://www.rec-singapore.org/persekutuan-doulos/,"Minggu, 10 Mei 2020",,
4,15.00 WIB,,,https://zoom.us/j/98292000805?pwd=ais0WmxvYnNGME9sTjNzSE84OWpMdz09,,"Minggu, 10 Mei 2020",Kelas 5 - 6 SD,GRII Singapura
5,15.00 WIB,,,https://www.youtube.com/watch?v=NFRcHfihoqI,,"Minggu, 10 Mei 2020",Semua Kelas - Knowing God : The Merciful,Vik. Sely Siwalette
11,15.00 WIB,REC Singapore Chinese Service (中文),GRII Singapura,https://zoom.us/j/394867503,Zoom Meeting ID : 394 867 503,"Minggu, 10 Mei 2020",,
12,16.00 WIB,Kebaktian Umum,Pdt. Stephen Tong,https://www.youtube.com/c/RELAYRMCI/live,Siaran Tunda Bhs Mandarin & Indonesia,"Minggu, 10 Mei 2020",,
8,16.00 WIB,,,https://zoom.us/j/98965112638?pwd=dUx5VjUyMzJEVy9ESXBSR2l3MXBTUT09,,"Minggu, 10 Mei 2020",Kelas Toddler,GRII Singapura
7,16.00 WIB,,,https://www.youtube.com/watch?v=SxNlqzEnCUg,,"Minggu, 10 Mei 2020",Kelas Batita - Balita,GRII BSD & MRII GS
6,16.00 WIB,,,https://us04web.zoom.us/j/3544725426,Meeting ID: 354 472 5426,"Minggu, 10 Mei 2020",Kelas Balita - Pra-SD,GRII Pondok Indah
5,16.00 WIB,,,https://www.youtube.com/watch?v=Omr4LJ-Ox-Q,,"Minggu, 10 Mei 2020",Kelas 1 - 3 SD,GRII BSD & MRII GS
5,16.00 WIB,,,https://www.youtube.com/watch?v=lb9kK0FV8C4,,"Minggu, 10 Mei 2020",Kelas 4 - 6 SD,GRII BSD & MRII GS
